,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL,data_chart
146,"Rave Na Praia","MC Teteu",96690,https://open.spotify.com/track/50YsV2XFugoMrqJK9Ttdly,2020-10-08
147,"Lose Control",MEDUZA,96618,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK,2020-10-08
148,"Piece Of Your Heart - Alok Remix",MEDUZA,96374,https://open.spotify.com/track/6iW38RGqdDGOofmz2HeXLW,2020-10-08
149,"Midnight Sky","Miley Cyrus",95924,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB,2020-10-08
150,Hb20,Tierry,94565,https://open.spotify.com/track/4cjowWOdLUKomiRwhWpRXJ,2020-10-08
151,Uau!,"Costa Gold",94541,https://open.spotify.com/track/5jo4ocTfihMYTsq1Z4ze9h,2020-10-08
152,"Vergonha pra Midia","Salvador Da Rima",94494,https://open.spotify.com/track/5JsxHA8NttHWThpTCToK1J,2020-10-08
153,"You Got It",Vedo,94091,https://open.spotify.com/track/4lsHZ92XCFOQfzJFBTluk8,2020-10-08
154,"A Casa É Sua","Casa Worship",93799,https://open.spotify.com/track/3h3fui1QXImL2zRcs9v2Lc,2020-10-08
155,Perdição,L7NNON,93693,https://open.spotify.com/track/7FikD4RFpmSZIvoP3rRwsS,2020-10-08
156,"Vitória Chegou","Mc Lipi",92892,https://open.spotify.com/track/541XTa1azDkMp2cFsM1Hcw,2020-10-08
157,"Relógio Parado (Ao Vivo)","Diego & Arnaldo",92808,https://open.spotify.com/track/5n8Y78Pl5q8lqS7sJP61qw,2020-10-08
158,"Adore You","Harry Styles",92713,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,2020-10-08
159,"Rave Balança E Bafora",Ventura,92634,https://open.spotify.com/track/7tswnwncDD0zJ1JpFf13Gl,2020-10-08
160,"Put Your Records On","Ritt Momney",92575,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9,2020-10-08
161,Believer,"Imagine Dragons",91997,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,2020-10-08
162,"Tão Linda","Atitude 67",91740,https://open.spotify.com/track/59WWulo1LM0njpIkcduCMn,2020-10-08
163,"Te gusta","MC Kevinho",91517,https://open.spotify.com/track/0h5iRD8nlDtcn4rwbZzNgg,2020-10-08
164,"Poesia Acústica - Paris","Pineapple StormTv",91515,https://open.spotify.com/track/5JKaHAt4atuNoLqpyDgbyK,2020-10-08
165,"Tá com o Papato (feat. BIN)",Papatinho,91163,https://open.spotify.com/track/5eT9vs7mv4Y4HrBWcP6abV,2020-10-08
166,"Laugh Now Cry Later (feat. Lil Durk)",Drake,90919,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI,2020-10-08
167,Gelo,Melim,90504,https://open.spotify.com/track/2DsZ6pXK1AG6emFugTeYW3,2020-10-08
168,"Hear Me Tonight",Alok,90353,https://open.spotify.com/track/0v8OKUrqZGoEbgEUXScRSQ,2020-10-08
169,"O Matuto Se Apaixonou","Os Barões Da Pisadinha",89987,https://open.spotify.com/track/09KUam5nfzNEXSSV9zWiT9,2020-10-08
170,"Pisadinha - Ao Vivo","Diego & Victor Hugo",89543,https://open.spotify.com/track/36P6ptTyxOggYgR2aoZiAl,2020-10-08
171,"Sou Vitorioso","Mc Lele JP",89505,https://open.spotify.com/track/37hCsK2djczyRGWMjqzbxD,2020-10-08
172,"Revoada do Tubarão","MC Ryan SP",88968,https://open.spotify.com/track/0C1cJj3ZNCS75sojrcMhZV,2020-10-08
173,"Mulher Cativante","MC Paulin da Capital",88943,https://open.spotify.com/track/0ItBgjbN1F82yX73rwTIg0,2020-10-08
174,"Os Boys Amam O Ex Chora","Jerry Smith",88715,https://open.spotify.com/track/2o8MYdtYZYidgpe9oIGIcy,2020-10-08
175,"Carreira Solo - Ao Vivo","Gusttavo Lima",88236,https://open.spotify.com/track/1MmS7UIy3J1BTxfGCRvVqN,2020-10-08
176,"Só Gratidão","Mc Lipi",88132,https://open.spotify.com/track/3HCvks6mkO22FzhieKHI30,2020-10-08
177,"Dona de mim",IZA,87878,https://open.spotify.com/track/0H8CBal2Dcu5Yc001VotZN,2020-10-08
