,Position,"Track Name",Artist,Streams,URL,data_chart
135,"Piece Of Your Heart - Alok Remix",MEDUZA,103945,https://open.spotify.com/track/6iW38RGqdDGOofmz2HeXLW,2020-12-01
136,"Break My Heart","Dua Lipa",102694,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT,2020-12-01
137,"Te Prometo",DENNIS,101329,https://open.spotify.com/track/7Ac3BmqTQoLdAt7HtZyfgN,2020-12-01
138,"Tudo que Eu Queria - Ao Vivo","Gusttavo Lima",100657,https://open.spotify.com/track/4VfG3ntsNSyNr7lPZZyvTE,2020-12-01
139,Cogulândia,Matuê,100422,https://open.spotify.com/track/5T6mY3sQbvVfLnertXdoST,2020-12-01
140,"Alive (It Feels Like)",Alok,100325,https://open.spotify.com/track/4fB85IhVASxXMWgoke5WVJ,2020-12-01
141,"Casa de Praia - Ao Vivo","Os Barões Da Pisadinha",100157,https://open.spotify.com/track/6Teco2qa7OBfa7mjaMYSbO,2020-12-01
142,Señorita,"Shawn Mendes",99467,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2020-12-01
143,"Meia Noite","Zé Vaqueiro",99286,https://open.spotify.com/track/2ylAocQwOgzelMbW9KJL56,2020-12-01
144,"Uma Vida a Mais (Listen To Your Heart)","Marília Mendonça",99162,https://open.spotify.com/track/2hqRWWmbHT9CTc5a4a9NVe,2020-12-01
145,"Ouvi Dizer",Melim,99151,https://open.spotify.com/track/1qCLx3nX25NuhfPjM5E1qV,2020-12-01
146,"Um Pedido","Hungria Hip Hop",98977,https://open.spotify.com/track/3CgZi8DMUftJHK6WL2gKc1,2020-12-01
147,"não passa vontade",ANAVITÓRIA,97210,https://open.spotify.com/track/1HbHUc3TamGVwXlcUolMej,2020-12-01
148,"Cabeça Voando","Os Barões Da Pisadinha",97113,https://open.spotify.com/track/6wDzwmywQ2X8O0FN1IQGol,2020-12-01
149,"Eu Feat. Você",Melim,96713,https://open.spotify.com/track/2PaOWQIEkSFkmONCv1Vgui,2020-12-01
150,SENTADÃO,"PEDRO SAMPAIO",96621,https://open.spotify.com/track/4lKuzrdZrJuCAedbIslF3A,2020-12-01
151,"Lonely (with benny blanco)","Justin Bieber",96594,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q,2020-12-01
152,"Lose Control",MEDUZA,96374,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK,2020-12-01
153,"Revoada do Tubarão","MC Ryan SP",96218,https://open.spotify.com/track/0C1cJj3ZNCS75sojrcMhZV,2020-12-01
154,"Nem Guindaste","MC JottaPê",95870,https://open.spotify.com/track/7BImEFQe28sPY5AbIN2kqs,2020-12-01
155,Shallow,"Lady Gaga",95615,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2020-12-01
156,"Coração Na Cama - Ao Vivo","Hugo & Guilherme",94720,https://open.spotify.com/track/2nZj5YymF54qhAu7RneVP6,2020-12-01
157,"Na Raba Toma Tapão",Niack,94530,https://open.spotify.com/track/0AGS6ZRgzobrazmCi6pYMe,2020-12-01
158,Uau!,"Costa Gold",94352,https://open.spotify.com/track/5jo4ocTfihMYTsq1Z4ze9h,2020-12-01
159,Antes,Matuê,93934,https://open.spotify.com/track/2XymTaHTrQWDEuSyhfZvqF,2020-12-01
160,"Bebe e Vem Me Procurar","Raí Saia Rodada",93903,https://open.spotify.com/track/3tu0GkIZwwkmILoD4HemBq,2020-12-01
161,"Rave Na Praia","MC Teteu",93541,https://open.spotify.com/track/50YsV2XFugoMrqJK9Ttdly,2020-12-01
162,Girassol,"Priscilla Alcantara",93216,https://open.spotify.com/track/22rcaYTa2UgcLCbeO0NoNj,2020-12-01
163,"Breaking Me",Topic,93159,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po,2020-12-01
164,"Rain On Me (with Ariana Grande)","Lady Gaga",92968,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9,2020-12-01
165,"Sua Mãe Tá Nessa - Ao Vivo Em São Paulo / 2019","Lauana Prado",92051,https://open.spotify.com/track/5gijVJHyC1E4kt2j5Q3DEb,2020-12-01
166,"Vai Lá","Wesley Safadão",91928,https://open.spotify.com/track/1NFRjwcyR91yN0cLRm8263,2020-12-01
167,pov,"Ariana Grande",91823,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33,2020-12-01
168,"Se Namorar Fosse Bom - Ao Vivo","Os Barões Da Pisadinha",91421,https://open.spotify.com/track/39d68jIHbCiFdXWI6jmALW,2020-12-01
169,Morena,"MC Paulin da Capital",91258,https://open.spotify.com/track/2W0VenqvlMW4c65YsxT5zu,2020-12-01
170,Cabaré,"Dj Guuga",90762,https://open.spotify.com/track/0N2cvvlyEw5NFc00E3FB0D,2020-12-01
171,"A Casa É Sua","Casa Worship",90264,https://open.spotify.com/track/3h3fui1QXImL2zRcs9v2Lc,2020-12-01
172,Hb20,Tierry,90213,https://open.spotify.com/track/4cjowWOdLUKomiRwhWpRXJ,2020-12-01
173,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,89894,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,2020-12-01
